Type,Strain,Name,Potency,Effects,Weight(G),Price,Price with tax,terpenes,notes,own
flower,hybrid,ascend cake mints,29.07% THC,relaxed; pain relief; comfort; energetic,1/8 oz,$54,$63,Limonene,,no
flower,indica hybrid,ascend gelato,21.93% THC,body; happy; mind,1/8 oz,$54,$63,Caryophyllene; Limonene; humulene,"Not good for migraines; feels very grounded and centered; would be good for playing video games; nuetral feeling; body high; ""bugs said she was thinking camping in the Wild West""",yes
flower,hybrid,ascend gelato popcorn,17.74% THC,relaxed; happy; mind,7 g,$72,$84,Caryophyllene; Limonene; humulene,,no
flower,indica hybrid,ascend gelato shake,"16,95% THC",body; happy; mind; relaxed,7 g,$54,$63,Caryophyllene; Limonene; humulene,,no
flower,indica,cresco face mints,22.42% THC,relaxed; sleepy; euphoric; calming,1/8 oz ,$65,$76,Terpinolene,,no
flower,hybrid,high supply jet fuel gelato,23.64% THC,energizing; creative; happy,14 g,$110,$129,Limonene,,no
flower,hybrid,cresco mac #7,21.74% THC,creative; euphoric; relaxing; sleepy,1/8 oz,$65,$76,Caryophyllene; Limonene; nerolidol,,no
flower,indica,cresco mint cake,22.37% THC,relaxed; pain relief; comfort; energetic,1/8 oz ,$65,$76,Limonene,,no
flower,indica hybrid,cresco rocket fuel,15.74% THC,euphoric; relaxed; uplifted; happy; focused,1/8 oz,$65,$76,Limonene,,no
flower,hybrid,cresco wedding crasher,18.33% THC,creative; energetic; inspired; uplifted,1/8 oz,$65,$76,Limonene; myrcene; linalool; Caryophyllene,,no
flower,hybrid,rythm gti afternoon delight,25.87% THC,energetic; creative; happy; focused,1/8 oz,$65,$76,"Limonene, Caryophyllene, Linalool",,no
flower,sativa ,ascend lemon cake,20.6% THC,creative; energetic; mind; uplifted,1/8 oz,$54,$63,Caryophyllene,,no
flower,sativa,ascend lemon cake shake,20.6% THC,creative; energetic; mind; uplifted,7 g,$63,$74,Caryophyllene,,no
flower,indica hybrid,rythm gti banana cookies,16.69% THC,body; calm; comfort; relaxed; sleepy; pain relief,1/8 oz,$65,$76,Caryophyllene; Limonene; myrcene,,no
flower,sativa hybrid,rythm gti clementine,16.41% THC 0.15% CBD,creative; energetic; mind; uplifted; inspired,1/8 oz,$65,$76,Terpinolene,,no
flower,indica,rythm gti bubba fett,22.3% THC,calming; body; comfort; relaxed,1/8 oz,$65,$76,Myrcene,,no
flower,sativa hybrid,innocent medicine igf sophora,16.27% THC,energetic; creative; happy,1/8 oz,$65,$76,,,no
flower,indica,rythm gti cookie face,24.81% THC,body; calm; comfort; relaxed; sleepy; pain relief,1/8 oz,$65,$76,Caryophyllene; Limonene; humulene,,no
flower,indica hybrid,rythm gti dg cookies,17.69% THC ,body; calm; comfort; relaxed; sleepy; pain relief,1/8 oz,$65,$76,Myrcene,,no
flower,hybrid,rythm gti jet fuel og,24.44% THC,energizing; happy; uplifted; relaxed,1/8 oz,$65,$76,Myrcene,,no
