Type,Strain,Name,Potency,Effects,Weight,Price,Price with Tax,Terpenes,notes,own
flower,hybrid,lsd,16.4% THC 0.14 CBD,calm; happy; relaxed; energetic,1/8 oz,$39.59,$43.94,Limonene,,no
flower,indica,superglue,21.9% THC 0.09 CBD,relaxed; happy; sleepy,1/8 oz,$51.90,$57.61,Caryophyllene,,no
flower,indica,cherry Kush budlets,18.73% THC 0.05 CBD,relaxed; happy; sleepy,1/8 oz,$47.50,$52.73,Caryophyllene,,no
flower,indica,chery Kush,18.73% THC 0.05 CBD,relaxed; happy; sleepy,1/8 oz,$51.90,$57.61,Caryophyllene,,no
flower,indica,triangle kush,20.47% THC 0.05 CBD,relaxed; happy; sleepy,1/8 oz,$51.90,$57.61,LIMONENE; MYRCENE; CARYOPHYLLENE,,no
flower,indica,sour grape,19.29% THC 0.05 CBD,relaxed; happy; sleepy,1/8 oz,$51.90,$57.61,Myrcene,,no
flower,indica,superglue budlets,20.95% THC 0.11 CBD,relaxed; happy; sleepy,1/8 oz,$51.90,$57.61,Caryophyllene,,no
flower,indica,sour grape budlets,19.29% THC 0.05 CBD,relaxed; happy; sleepy,1/8 oz,$47.50,$52.73,Myrcene,,no
flower,sativa,dulce,19.05% THC 0.05 CBD,energetic; happy; creative; focused; inspired,1/8 oz,$51.90,$57.61,,,no
flower,sativa,amnesia haze,15.68% THC 0.05 CBD,energetic; happy; creative; focused; inspired,1/8 oz,$51.90,$57.61,Myrcene; Delta 3 Carene,,no
preroll,hybrid,strawberry nuggets,8.08% THC 0.04 CBD,calm; happy; relaxed; energetic,1 g,$17.59,$19.52,,,no
preroll,indica,sour grape,26.25% THC 0.09 CBD,relaxed; sleepy; happy,1 g,$17.59,$19.52,Myrcene,,no
preroll,sativa,headband,12.19% THC,energetic; happy; creative; focused; inspired ,1 g,$17.59,$19.52,Limonene and Myrcene; Delta 3 Carene,,no
edibles,hybrid,wana sour exotic yuzu gummies,2:1 CBD/THC,calm; relaxed; happy,100 mg,$48.38,$53.70,,,no
edibles,hybrid,wana watermelon gummies,,calm; relaxed; happy; energetic,100 mg,$40.47,$44.92,,,no
edibles drink,hybrid,keef classic purple passion,6.24% THCa 16% THC,calm; relaxed; happy; energetic,100 mg ,$25.51,$28.32,Myrcene; Humlene; linalool; caryophyllene,,no
edibles drink,hybrid,keef life h2o strawberry kiwi,,calm; happy; relaxed; energetic,200 mg,$43.12,,,,
edibles drink,indica,keef rootbeer bubba kush,,calm; happy; relaxed,100 mg,,,caryophyllene; limonene; bisabolol,ABSOLUTE FAVORITE as of 4/2/21 It makes all the anxiety; stress; and sadness go away. Good antidepressant; makes reading less frustrating. Slowing down isn't scary. Relaxing and awake feeling. Chilled out but high functioning,
edibles drink,hybrid,keef original cola,,calm; happy; relaxed; energetic,100 mg ,$25.51,,,,
edibles drink,hybrid,keef blue razz cola,14% THC 1% CBD 0.2% CBN 1% THCv,calm; happy; relaxed; energetic,100mg ,$25.51,,Myrcene; Limonene; Linalool; Caryophyllene; Pulegone,,
edibles,indica,blueberry gummies,,happy; relaxed; sleepy,100 mg,$40.47,$44.92,,,no
edibles,sativa,wana mango gummies,,energetic; happy; creative; focused; inspired,100 mg,$40.47,$44.92,,,no
edibles,indica,greenlight tropical punch gummies,,relaxed; sleepy; happy,100 mg ,$33.44,$37.12,,,no
edibles,hybrid,greenlight razzies gummies,,calm; energetic; happy; relaxed,100mg ,$33.44,,,,
edibles,hybrid,cowboy cannabis green apple gummies,,relaxed; sleepy; happy,100 mg,$33.44,$37.12,,,no
edibles,hybrid,cowboy cannabis cherry gummies,,calm; relaxed; happy; energetic,100 mg ,$33.44,,,,
edibles,hybrid,reds gummies,,calm; energetic; happy; relaxed,100 mg,$34.41,$38.20,,,no
edibles,hybrid,wana strawberry lemonade gummies,!:! CBD/THC,calm; energetic; happy; relaxed,101 mg,$43.96,,,,
edibles,hybrid,fruits gummies,,calm; energetic; happy; relaxed,100 mg,$34.41,$38.20,,,no
edibles,hybrid,tropical gummies,,calm; energetic; happy; relaxed,100 mg,$34.41,$38.20,,,no
disposable pen,hybrid,gelato #33 ,82% THC 1.2% CBD,calm; energetic; happy; relaxed,.5 g,$79,$88,myrcene; caryophyllene; limonene,,no
disposable pen,hybrid,cherry pie,78.78% THC 1.13% CBD,calm; energetic; happy; relaxed,.5 g,$79,$88,pinene; caryophyllene,,no
