Type,Strain,Name,Potency,Effects,Weight,Price,Price with Tax,Terpenes,Notes,own,
flower,hybrid,fizzy brains,15.1 THC,,1/8 oz,$50,$59,,,no,
flower,indica,kentucy bluegrass,18.22 THC,,1/8 oz,$55,$64,myrcene; pinene; caryophyllene; linalool; ocimene,,no,
flower ,indica hybrid,309 OG,19.81 THC,,1/8 oz,$55,$64,,,no,
flower,hybrid,blue dream ,23.1 THC,,1/8 oz,$66,$77,myrcene; pinene; caryophyllene,,no,
flower ,indica,bubba diagonal,16.1 THC,,1/8 oz,$60,$70,,good for migraines,no,
flower,indica hybrid,bubble gum,20.3 THC,,1/8 oz,$55,$64,,,no,
flower,indica hybrid,cake breath,22.8 THC,,1/8 oz,$60,$70,,,no,
flower,sativa,citradelic sunset,16.9 THC,,1/8 oz,$60,$70,,,no,
flower,indica ,death star,17.2 THC,,1/8 oz,$56,$66,,,no,
flower ,indica hybrid,face melt og,20 THC,,1/8 oz,$55,$64,myrcene; caryphyllene; limonene; elemene; bisabolol,,no,**pinene is a terpene that is good for ADHD and alzheimers; but not PTSD
flower,indica hybrid,forbidden fruit,11 THC,,1/8 oz,$63,$74,,,no,
flower,sativa hybrid,g wagon smalls,20.1 THC,,1/8 oz,$50,$59,,,no,
flower,hybrid,green line og,14.7 THC,,1/8 oz,$55,$64,,,no,
flower,sativa,jack herer,21.9 THC,,1/8 oz,$60,$70,terpinolene; caryophyllene; myrcene; humulene; ocimene,,no,
flower,hybrid,lemon tag,21.2 THC,,1/8 oz,$55,$64,myrcene; elemene; limonene; caryphyllene; bisabolol,felt very connected to life; no change in happiness; goofy; unstable; felt wavy walking up stairs,yes,
flower,hybrid,liberty haze,15.3 THC,,1/8 oz,$56,$66,terpinolene; caryophyllene; myrcene; humulene; limonene,,no,
flower,hybrid,lime og,24.17 THC,,1/8 oz,$22,$26,,,no,
flower,indica,lime sorbet,22.9 THC,,1/8 oz,$60,$70,,,no,
flower,hybrid,lou's legacy,23.2 THC,,1/8 oz,$60,$70,,,no,
flower,indica,mac,26 THC,,1/8 oz,$60,$70,,,no,
flower,hybrid,mandarin cookies,21.2 THC,,1/8 oz,$55,$64,myrcene; limonene; ,,no,
flower,hybrid,mcgloven,19.8 THC,,1/8 oz,$60,$70,,,no,
flower,indica hybrid,megatron,20.9 THC,,1/8 oz,$60,$70,"myrcene; terpinolene, caryophyllene; ocimene",,no,
flower,indica,mk ultra,20.3 THC,"euphoric; sleepy; ""strong medicine"" ",1/8 oz,$60,$70,Myrcene,feels like the name; smoked when we took rhett to the bridge,yes,
flower,sativa hybrid,mob boss,21.9 THC,,1/8 oz,$60,,,,no,
flower,hybrid,mojo,26.1 THC,,1/8 oz,$55,,,,no,
flower,sativa,mr clean,24.7 THC,,1/8 oz,$66,,myrcene; caryophyllene; ocimene; terpinolene,,no,
flower,indica,og 18,18.9 THC,,1/8 oz,$60,,,,no,
flower,indica,orange pie,21.1 THC,,1/8 oz,$60,,,,no,
flower,indica,pillow factory,22.1 THC,,1/8 oz,$56,,,,no,
flower,hybrid,sc slimer,23.1 THC,,1/8 oz,$60,,,,no,
flower,indica,slurricane,22.7 THC,,1/8 oz,$65,,,,no,
flower,sativa,"sony G ""smalls""",25.5 THC,,1/8 oz,$50,,,,no,
disposable pen,sativa,bruce banner,64.4 THC,ephoria into relaxation,1.0-0.3 G,$40,,,,no,
disposable pen,sativa,cantaloupe haze,76 THC,in small amounts creativity and foucs; large amounts sleepiness; can help with migraines,0.3 G,$37,,,,no,
disposable pen,sativa,friyay,83.7 THC,seize the day,0.3 G,$35,,,"not that great, doesn't ",yes,
disposable pen,sativa,l'orange,74.3 THC,"good wake and bake, happy lifted mood, good focus",0.3 G,$35,,,,no,
disposable pen,sativa,uplifting spearmint,70.2 THC,good for ADHD and alzheimers,0.3 G,$40,,pinene; caryophyllene,"big fan. feels minty going in, smooth going out",yes,
disposable pen,sativa,vegas,83.2 THC,going all-in,0.3 G,$35,,,,no,
edibles,sativa,wana gummies,,,100 mg,$30,,,,no,
edibles,,beboe,,ideal dinner party to shed self consiousness ,96 mg,$40,,,,no,
edibles,hybrid,mindys,,comes in 2mg gummies,40mg ,$15,,,,no,
edibles,hybrid,honey packs,,,100 mg,$20,,,,no,
edibles,hybrid,lozenge agave lime,,work faster because of disolved in mouth,20 mg,$7,,,,no,
sublingual,,mandarin orange,,can be absorbed more easily than edibles,100 mg ,$25,,,,no,
edibles,sativa,wana manog,,no gelatin,100 mg,$30,,,,no,
edibles,hybrid,peppermint gum,,sublingual edible,75 mg,$30,,,,no,
edibles,hybrid,sour cherry gummies,,sustainable sourced have sour packet inside,100 mg,$30,,,,no,
edibles,hybrid,sour rasberries ,,,100 mg ,$30,,,,no,
edibles,hybrid,sour watermellon gummies,,,100 mg,$30,,,,no,
edibles,hybrid,sour smash watermellon gummies,,,100 mg,$30,,,,no,
edibles,,strawberry lemonade,1:1 CBD THC,good for migraines,100 mg,$33,,,,yes,
sublingual,hybrid,mango pineapple tonic,,happy and joyful; laughs,97 mg,$25,,,,no,
edibles,,mini mints tangerine laugh,,,91 mg,$18,,,,no,
edibles,sativa,vegas wine grape,,going all in,100 mg ,$30,,,,yes,
